tectonic.setting,rock.type,SIO2,TIO2,AL2O3,CAO,MGO,MNO,K2O,NA2O,P2O5,SC,V,CR,CO,NI,RB,SR,Y,ZR,LA,CE,ND,SM,EU,YB,LU,HF,TH
Cont flood Basalt,Basalt,48.65,1.86,14.3,11.85,6.21,0.18,0.18,2.28,0.14,41.3,351,146,49.9,90,2,231,28,97,9.03,22.2,15.2,4.11,1.57,2.39,0.33,2.8,0.74
Archean craton,Andesite,55.61,0.69,17.5,8.37,4.53,0.15,0.53,3.23,0.11,21,167,147,47,110,12,262,14,89,13.97,28.36,11.48,2.47,0.77,1.26,0.18,1.79,4.87
Convergent margin,Andesite,59.15,0.92,16.42,5.28,4.32,0.1,1.48,3.95,0.23,12,91,147,17.5,76,23,499,20,190,19.6,37,17,4,1.21,1.64,0.24,4.2,3.7
Convergent margin,Dacite,49,1.25,16.43,12.51,6.96,0.15,0.31,3,0.05,39.9,265,148,36.8,51,4,288,22,51,4,11,8,2.3,1,2.1,NA,1.5,0.34
Archean craton,Basalt,50,1.74,14,10,4.19,0.31,0.19,3.11,0.28,43.7,396,150,53,70,3,154,33,86,5.1,13.1,11.6,3.7,1.48,3.3,0.49,2.4,0.4
Archean craton,Basalt,49.7,0.83,13.7,10.39,7.3,0.23,2.4,0.7,0.06,49,328,153,47,80,25,526,NA,49,3.66,8.87,6.64,2.15,0.77,2.36,0.37,1.5,0.31
Backarc basin,Basalt,51.3,1.58,13.79,10.98,6.89,0.23,0.08,2.61,0.11,45,481,154,46,61,1.36,80,41.7,87,2.78,9.23,10.15,3.67,1.36,4.51,0.7,2.46,0.11
Archean craton,Dacite,64.15,0.56,15.06,4.25,2.79,0.08,2.2,3.6,0.16,10.5,94.29,154.66,20.59,90.08,64.81,741.2,12.93,127.4,26.81,55.88,27.71,4.98,1.352,1.22,0.185,3.3,3.51
Archean craton,Basalt,51.3,1.13,13.8,10.8,5.8,0.2,0.1,2,0.1,53,360,155,74,65,7,136,25,70,3.8,10.3,8,2.63,0.95,2.65,0.41,2.14,0.352
Backarc basin,Basalt,52.11,1.24,16.34,10.95,6.2,0.18,0.27,3.21,0.29,31.3,NA,158,32.6,69.3,3.95,160,21.5,85.6,3.9,10.5,8.58,2.68,0.981,2.27,0.34,2.24,0.305
Seamount,Basalt,47.85,1.5,14.21,12.03,7.13,0.18,0.29,1.92,0.19,53.9,394,159,57.4,92.1,7.98,158,28.8,96.4,8.78,20.1,12.9,3.66,1.24,2.75,0.41,2.49,0.92
Convergent margin,Andesite,51.71,0.75,16.81,10.82,7.05,0.15,1.75,2.57,0.3,34,210,159,31,58,59,498,23,120,30.9,57.4,28.2,5.5,1.49,2.16,0.36,2.89,11.58
Convergent margin,Dacite,65.9,0.689,16.1,2.68,0.5,0.055,4.74,4.06,0.187,39.08815789,476.4055556,160,7.608421053,183.08375,46.5775,1063.377027,23.65290698,214.4104762,20.1952,50.59846715,25.18608696,5.6325,1.651170213,1.670645161,0.250168539,5.288510638,4.257
Convergent margin,Dacite,64.9,0.61,15.96,4.41,2.44,0.07,2,4.31,0.17,NA,68,162,9.49,38,39.26,608,15.12,143,16.93,36.16,18.85,3.87,1.2,1.38,0.2,3.35,4.2
Cont flood Basalt,Basalt,48.17,1.77,14.16,11.3,6.61,0.18,0.15,2.03,0.14,42.3,364,164,54.9,115,1,162,28,95,7.42,18.3,13.3,3.84,1.4,2.42,0.35,2.8,0.62
Convergent margin,Basalt,53,0.93,17.1,9.24,7.58,0.14,1.15,3.02,0.15,29.8,NA,164,39.7,130,33,239,23,128,9.8,20.6,14,3.22,0.96,2.76,0.42,3.12,4.18
Cont flood Basalt,Basalt,48.16,1.78,13.62,11.48,7.09,0.19,0.14,2.08,0.12,41.5,362,165,53.5,93,2,190,27,102,6.95,17.8,13.3,3.77,1.42,2.28,0.34,2.8,0.68
Convergent margin,Andesite,57.95,0.8,16.53,6.17,3.88,0.12,2.67,3.2,0.22,NA,131,165,17,115,74,456,35,264,46,91.4,44.2,8.4,1.56,2.89,0.42,6,11
Archean craton,Andesite,54.4,1.14,13.1,3.9,6,4.75,0.13,1.17,0.2,19,216,165,29,91,15,418,49,345,59,127,NA,12,2.95,3.91,0.57,7.2,1.7
Archean craton,Andesite,58.7,0.9,17.36,5.32,5.28,0.13,0.42,5.54,0.18,22,183,166,32,125,13,124,16,110,9.3,24.2,13.1,2.95,0.82,1.57,0.25,2.4,0.9
Intraplate,Dacite,65.01,0.64,15.78,3.63,2.19,0.07,2.65,3.66,0.12,12.4,74.8,167.3,14.1,0,122,395,23,199.1,29.9,57.8,28.24,5.23,1.22,2.23,0.34,5.47,9.35
Cont flood Basalt,Basalt,45.1,1.45,15.34,8.4,12.13,0.14,0.27,1.5,0.2,25,225,168,48,78,NA,250,22.6,95,5.95,15.2,12.6,3.43,1.36,2.08,0.26,2.57,0.4
Convergent margin,Andesite,54.9,0.83,17.25,9,5.83,0.14,1.64,2.98,0.13,29,187,168,33,53,58,229,23,162,26,46,23,4.3,1.2,2.9,NA,2.3,10.4
Archean craton,Andesite,53.9,1.41,17.5,9.12,4.92,0.12,0.48,3.4,0.25,25,190,170,44,99,15,240,26,145,13,33,18.93,4.42,1.4,2.3,0.38,3.3,1.1
Archean craton,Dacite,64.9,0.46,16.5,1.23,2.85,0.03,2.55,3.76,0.2,12.7,91,170,21,70,63,262,14,143,27.2,57.2,21.4,4.3,1.01,1.3,0.21,3.8,8.2
Convergent margin,Rhyolite,59.76,0.48,14.27,5.63,4.78,0.13,4.03,3.37,0.26,21,155,170,23,33,170,706,32.3,105,53,102,43,8.7,1.08,2.73,0.4,4.2,26.8
Archean craton,Basalt,49.2,1.1,16,11.5,3.94,0.21,0.47,1.99,0.2,42.6,304,170,56,110,22,127,25,64,3.4,9.6,8,2.5,0.96,2.5,0.37,1.8,0.3
Archean craton,Basalt,51.1,1.2,13.8,9.3,6,0.2,0.5,2.3,0.1,40,314,171,104,103,17.7,132,27,89,4.5,14.4,11.9,3.2,1,3.2,0.5,2.5,0.4
Intraplate,Rhyolite,70.09,0.75,10.8,0.5,1.33,0.07,3.87,1.93,0.17,24.73,153.5,171.2,29.04,38.58,42.03,243.5,34.31,203.1,40.79,90.43,41.49,8.25,2.12,3.83,0.57,5.7,2.5
Intraplate,Dacite,56.96,0.45,16.34,5.98,5.4,0.11,2.52,4.23,0.16,24,190,175,NA,36,40,430,14,77,14.3,27.9,14,3,0.9,1.46,0.23,1.83,2.53
Backarc basin,Basalt,50.92,1.69,15.46,10.48,6.63,0.19,0.39,3.2,0.34,38.8,NA,179,33.7,80.8,7.51,179,33.5,115,5.86,16,13.2,4.26,1.44,3.6,0.532,3.32,0.54
Intraplate,Basalt,47.6,1.35,16.95,10.27,5.23,0.11,0.61,3.17,0.21,20.7,178,179,42.5,143,6.6,411,20.32,112,13.61,29.04,15.52,3.78,1.19,1.72,0.26,5.1,6.1
Cont flood Basalt,Basalt,50.23,0.945,13.7,11.46,7.85,0.258,0.065,2.05,0.06,51.8,327.7,180.2,51.9,80.9,0.8,80.2,23.9,40.9,1.89,5.03,5.25,1.84,0.83,2.63,0.4,1.34,0.4
Convergent margin,Basalt,50.72,0.58,16.29,10.4,6.89,0.182,0.24,1.72,0.068,33,234,183,NA,51,6.9,224,13,31,3.38,7.95,5.2,1.46,0.59,1.33,0.21,0.81,0.74
Archean craton,Basalt,49.4,1.63,14.2,8.5,7,0.25,0.3,3.7,0.17,41,282,183,57,96,11,225,41,119,9.3,23.8,18.1,5.52,1.9,4.76,0.7,3.41,0.537
Backarc basin,Basalt,50.52,1.48,14.29,11.36,6.96,0.2,0.08,2.69,0.11,57,406,185,45,69,0.76,84.5,38,91,1.65,5.57,5.45,1.82,0.663,2.99,0.425,NA,0.119
Convergent margin,Andesite,52.37,1.15,16.85,9.58,6.11,0.16,0.65,3.21,0.22,33.6,268,185,33.6,73,15.5,432,23.3,99,8.04,22,14.2,3.78,1.14,2.39,0.37,2.6,1.2
Intraplate,Basalt,50.07,2.33,14.25,8.94,5.82,0.24,0.26,3.2,0.3,45,347,186,47,151,5,163,56,177,10.3,31,21.6,6.97,2.2,5.56,0.89,4.7,0.8
Cont flood Basalt,Basalt,49.1,2.17,14.3,10.6,6.66,0.19,0.82,2.63,0.3,28,298,186,54,114,18,377,22,154,17.2,37,21,5.2,1.76,2.21,0.34,3.5,1.8
Cont flood Basalt,Basalt,49.01,1.49,14.6,8.81,6.94,0.17,0.8,2.44,0.13,26,310,191,54.3,114,25.4,351.3,17,108.9,11.9,27.5,15.1,3.6,1.6,1.6,0.2,2.8,1.4
Cont flood Basalt,Basalt,47.9,1.36,13.79,12.08,6.57,0.16,0.12,3.13,0.1,41.8,313,194,46,67,3,170,21,67,6.57,15.4,10.5,2.98,1.21,2.12,0.296,2,0.45
Ocean island,Basalt,47.25,3.32,13.88,11.35,6.91,0.19,0.82,2.57,0.4,29.4,263,195,48.3,102,14.3,601,29,242,23.1,59.9,34.5,7.92,2.54,2.13,0.31,5.5,1.5
Convergent margin,Andesite,53.9,1.1,17.6,8.03,6.05,0.14,0.78,3.97,0.25,22.9,170,197,33,107,8,543,21,118,11,25,18,4.1,1.27,2.3,0.34,2.8,1.1
Convergent margin,Basalt,50.84,0.63,16.27,10.61,7.04,0.193,0.26,1.7,0.071,36,262,198,NA,57,7.7,230,14,36,3.66,8.71,5.48,1.55,0.64,1.45,0.22,0.96,0.8
Archean craton,Basalt,49.5,1.35,14.7,9,5.6,0.19,0.6,3.5,0.1,47,347,199,60,91,12,250,27,69,4.3,12.1,9,3.11,1.14,2.89,0.41,2.29,0.544
Intraplate,Basalt,51.69,2.081,13.97,9.23,6.77,0.152,1.175,3.14,0.316,27.3,159.6,203.8,40.6,149.6,17,447.81,23.841,140.5,16.248,33.891,21.133,5.4055,1.868,1.674,0.246,3.904,1.82
Backarc basin,Basalt,51.11,1.22,16.92,10.57,7.07,NA,0.48,3.09,0.18,32.2,240,205,33.4,131,8.3,262,29,104.6,8.36,18.83,12.39,3.62,1.22,2.77,0.43,2.59,1
Archean craton,Basalt,50.64,1.08,15.43,10.17,4.9,0.16,0.45,4.21,0.12,20.44,190,206,53,118,13.01,476,17.77,94.29,14.57,34.88,19.65,3.98,1.33,1.35,0.21,2.3,1.11
Archean craton,Andesite,53.72,0.58,14.97,8.31,8.36,0.16,0.44,2.43,0.07,30,291,209,62,89,7.34,178,16.29,47.27,11.22,18.15,9.97,2.17,0.71,1.72,0.29,1.24,2.98
Archean craton,Basalt,49.5,0.86,15.5,10.7,4.37,0.28,0.18,2.67,0.15,39.6,279,210,58,120,4,117,22,52,2.9,7.9,7,2.3,0.86,2.2,0.33,1.5,0.2
Archean craton,Andesite,52.4,0.57,14.88,10.88,8.37,0.15,0.67,1.83,0.09,31,318,211,53,98,18.38,165,16.94,42.85,11.74,19.83,9.73,1.89,0.74,1.77,0.25,1.11,2.27
Ocean island,Basalt,46.57,2.88,15.64,11.76,6.93,0.18,0.25,2.19,0.28,29.8,256,212,NA,94,1.36,496,29.2,162,13.1,35.36,22.7,6.43,2.28,2.09,0.28,4.22,0.945
Intraplate,Basalt,56.3,0.48,15.2,8.35,5.89,0.17,1.74,1.42,0.08,29.3,185,213,NA,8.63,38,109,16.3,86,12.9,29.6,13.5,3.06,0.68,2.24,0.32,2.33,4.24
Seamount,Basalt,49.9,1.64,16.06,13.25,6.44,0.14,0.16,2.4,0.21,49.9,308,213,41.2,62.8,1.59,187,32.6,104,5.69,15.4,12.3,3.99,1.43,2.94,0.43,2.65,0.41
Cont flood Basalt,Basalt,49.6,1.56,14.1,11.5,7.2,0.2,0.36,2.21,0.15,42,300,214,48,91,9.9,171,25,99,8.3,20.9,12.9,3.89,1.26,2.4,0.37,2.2,1.01
Convergent margin,Dacite,64.9,0.44,14.1,2.29,2.98,0.12,5.24,2.3,0.45,12,52,214,NA,26,290,272,19,138,33,67,29,5.3,1,1.7,0.25,3.5,15
Archean craton,Basalt,52.21,0.9,16.68,12.35,3.66,0.27,2.11,0.36,0.09,43,302,218,56,125,11,126,17.9,45,2.94,7.82,6.38,2.05,0.76,2.21,0.31,1.44,0.35
Archean craton,Dacite,71.74,0.34,12.91,1.59,0.98,0.04,2.94,3.65,0.08,10,19,218,NA,3,65.5,140.8,37.5,264,31.27,67.48,33.32,6.73,1.167,3.91,0.58,6.9,7
Cont flood Basalt,Andesite,50.4,2.27,14.2,8.39,7.33,0.16,0.97,3.4,0.4,18,176,220,37,154,15,510,27,140,14,30,19,6,2.2,2,0.27,3.5,1.4
Archean craton,Dacite,62.3,0.621,16.4,2.17,4.15,0.06,1.28,3.52,0.29,14.4,114,220,20,70,40,313,13,130,27.3,49.3,22.1,4.2,1.22,1.3,0.19,3.3,6.5
Archean craton,Basalt,47.87,1.35,12.8,8.81,9.27,0.17,1.25,1.87,0.1,42,445,221,79,199,9.7,93.9,27,73,10.3,31.3,15.1,4.07,1.29,2.68,0.428,2.3,1.2
Seamount,Basalt,49.2,1.97,14.1,11.3,6.74,0.23,0.3,2.97,0.26,37.4,NA,221,51.2,60,3.32,213,28.3,115,6.81,16.6,12.6,3.78,1.3,2.43,0.351,2.73,0.458
Ocean island,Basalt,43.71,3.9,15.03,11.73,6.47,0.2,1.48,3.61,0.96,34.2,287,221,37,66,30,1110,36,273,58.3,134,62.4,12.3,3.82,4.33,0.85,6.6,5
Convergent margin,Andesite,52.9,1,16.66,9.41,7.43,0.16,0.8,3.15,0.2,31,247,221,35,88,12,319,19,98,6.72,17.47,12.9,3.5,1.07,1.98,0.3,2.32,0.6
Archean craton,Basalt,50.55,1.25,15.92,7.74,7.72,0.19,0.07,1.49,0.09,38,293,221,48,106,8,98,21,83,4.7,11,8.7,2.8,0.97,2.4,0.34,0.7,NA
Intraplate,Basalt,56.4,0.74,16.2,10.3,4.21,0.11,0.2,2.23,0.07,39,189,227,50.9,39,6.32,80.7,23,79.9,11.4,22.8,11.9,2.99,0.95,2.17,0.32,1.97,4.09
Convergent margin,Basalt,49.65,1.86,16.41,8.75,7.31,0.16,1.28,3.62,0.48,28,210,228,33,104,24.1,584,27.87,196,26.93,54.56,28.69,6.88,2.14,2.28,0.36,4.85,2.96
Archean craton,Basalt,53.4,1.04,9.9,9.6,8.39,0.21,0.03,2.1,0.09,25,230,230,41,130,1,92,19,70,4.4,11,10,2.9,0.87,1.8,0.29,1.9,0.41
Convergent margin,Andesite,52.35,1.67,16.8,7.77,6.61,0.15,1.29,3.62,0.43,23.9,195,230,29,100,22.3,528,26.4,219,27.49,54.18,27.69,6.42,1.93,2.19,0.34,5.26,3.64
Convergent margin,Andesite,51.84,1.22,16.23,8.65,6.56,0.17,0.97,3.01,0.37,NA,185,231,41,82,23.6,466,23.2,152,18.8,40.8,22.4,4.86,1.62,2.17,0.32,3.64,2.17
Archean craton,Basalt,48.51,0.65,15.56,10.91,8.81,0.18,0.75,1.91,0.06,32.13,272.88,232,68,191,27.54,162.67,15.58,40.99,2.81,7.57,4.93,1.52,0.65,1.8,0.26,1.11,0.37
Intraplate,Basalt,49.48,1.92,14.08,10.2,6.71,0.21,0.38,2.77,0.22,47,334,235,46,132,6,142,44,130,7,20,15.9,4.88,1.68,4.36,0.66,3.6,0.4
Rift,Andesite,51.49,0.68,14.86,8.67,8.58,0.15,0.21,3.95,0.12,40.4,276,235,47,81,14,227,15,44,6.9,6,10,2.2,0.9,1.5,0.16,1.1,1.7
Convergent margin,Andesite,52.1,2.65,13.11,8.45,6.73,0.15,0.9,3.17,0.33,19,176,235,44,167,21.3,404,26.1,163,17.9,38,23.8,6.4,2.17,1.68,0.24,4.3,2.9
Convergent margin,Dacite,63.8,0.49,14.2,2.49,2.93,0.13,5.25,2.5,0.49,13,64,235,NA,25,360,340,22,150,39,77,32.9,6.3,1,1.9,0.29,3.9,17
Convergent margin,Andesite,51.63,2.77,13.33,8.82,6.79,0.16,1.06,3.2,0.31,20,182,237,45,168,23.7,433,26.9,170,19.1,41,25.2,6.5,2.2,1.81,0.23,4.6,3.1
Cont flood Basalt,Basalt,49.9,1.36,15.4,12,8,0.17,0.15,1.96,0.12,38,260,239,47,98,1,146,24,84,5.5,15.4,10.9,3.27,1,2.06,0.36,2.1,0.94
Convergent margin,Andesite,52.5,0.99,16.35,9.37,7.49,0.16,0.79,3.18,0.19,35,234,240,39,106,12,315,18,99,6.69,17.09,12.65,3.41,1.04,1.91,0.29,2.25,0.56
Cont flood Basalt,Andesite,50.9,1.96,14.1,8.33,7.14,0.16,0.53,3.1,0.21,20,172,241,40,150,9.9,410,23,94,6.7,16,12,4.4,1.8,1.7,0.23,2.7,0.77
Intraplate,Dacite,68.7,0.8,12.8,1.8,3.9,0.1,5.2,1.6,0.8,10.6,71.1,241,15,109.5,276,469.8,23.1,269.1,56.8,127,67.7,12.1,2.2,1.7,0.3,7.2,84.1
Seamount,Basalt,48.6,1.95,15.3,11.7,5.9,0.17,0.64,2.39,0.2,38.8,297,247,NA,71,11.4,229,29.2,120,7.02,18.4,14,4.13,1.51,2.54,0.361,3.12,0.552
Backarc basin,Basalt,50.64,1.54,15.64,10.87,7.39,0.16,0.16,3.11,0.29,33.2,NA,247,35.8,96.9,3.63,130,29.5,89,4.04,11.9,10.5,3.56,1.25,3.3,0.469,2.9,0.259
Archean craton,Basalt,50.38,1.31,16.97,3.68,7.51,0.2,1.13,2.18,0.09,37,287,247,80,214,33,33,21,63,4.64,11.21,9.13,1.11,NA,1.89,0.32,1.89,0.57
Seamount,Basalt,48.7,1.92,15.1,11.7,7.39,0.21,0.29,2.91,0.28,38.1,NA,248,49,82.9,2.94,217,28.6,116,6.58,16.6,12.5,3.91,1.26,2.32,0.35,2.7,0.448
Backarc basin,Basalt,50.52,1.31,17,10.4,7.86,NA,0.35,3.46,0.17,33.9,228,249,38,179,4.7,268,29.2,107.7,6.39,15.76,11.03,3.38,1.23,2.71,0.43,2.51,0.566
Convergent margin,Basalt,51.12,0.61,15.85,10.54,7.45,0.194,0.29,1.72,0.07,37,254,250,NA,62,10.4,223,14,35,3.96,9.5,5.69,1.63,0.64,1.4,0.21,0.9,0.84
Backarc basin,Basalt,50.3,1.39,16.27,11.38,8.16,0.18,0.13,3.43,0.3,30.7,NA,250,36.7,119,0.859,179,24.2,107,3.9,11.8,10,3.21,1.17,2.6,0.38,2.58,0.148
Archean craton,Basalt,49.42,0.9,15.6,8.18,8.14,0.236,1.49,2.16,0.07,43,275,252,46.6,128,40.1,122,21.2,51.5,2.89,7.9,6.38,2.28,0.97,2.42,0.36,1.59,0.92
Convergent margin,Basalt,46.18,1.93,15.46,10.97,4.61,0.15,1.11,2.79,0.16,39,297,255,42,75,19,213,24,87,7.41,19.3,NA,3.69,1.3,2.19,0.35,2.3,0.8
Archean craton,Andesite,55.8,1.14,15.3,7.1,6.5,0.12,0.8,2.7,0.18,27,214,256,39,113,32,313,21,125,16.9,38.3,19.1,3.95,1.275,2.01,0.298,3.42,3.064
Backarc basin,Basalt,49.98,1.11,16.87,11.3,7.98,NA,0.27,3.12,0.11,32.1,229,258,37.4,117,3.4,202,26.2,83.9,4.32,11.28,9.26,2.95,1.07,2.43,0.37,2.17,0.358
Convergent margin,Basalt,50.02,1.4,16.2,10.66,7.39,0.14,0.68,2.95,0.19,33,269,259,47,218,7.3,146,28,90.4,4.85,12.74,10,3.16,1.12,2.55,0.41,2.23,0.314
Convergent margin,Dacite,66,0.645,16.1,3.58,1.41,0.058,3.3,4.43,0.227,16,174,260,33,59,63.322,425.783,23.021,143.854,23.241,48.5,25.049,5.13,1.479,2.021,0.272,3.589,5.035
Seamount,Basalt,49.3,1.89,15.7,9.87,8.11,0.13,0.29,2.8,0.17,40.7,298,262,NA,76,1.62,217,24,104,5.95,15.7,12.1,3.57,1.36,2.22,0.323,2.77,0.467
Seamount,Basalt,50.1,1.06,18.31,13.3,5.37,0.15,0.13,1.97,0.09,49.6,371,264,56.7,118,2.22,207,27.4,103,9.34,21.7,14,3.86,1.33,2.46,0.37,2.54,0.94
Convergent margin,Andesite,54.12,0.7,15.24,10.38,6.91,0.16,1.6,2.33,0.21,NA,244,266,31.5,60.6,47.8,566,18.9,103,26.7,52.7,22.4,4.5,1.07,1.6,0.302,2.32,9.3
Archean craton,Basalt,46.02,0.87,13.73,16.31,6.25,0.29,2.69,0.36,0.06,45,336,267,49,105,23,128,21.4,47,3.91,9.84,7.03,2.18,0.7,2.1,0.3,1.37,0.32
Intraplate,Basalt,49.23,1.82,13.57,9.36,5.6,0.2,0.27,2.53,0.32,28.8,275,269,48.6,125,3.4,194,41.7,184,32.13,72.49,39.71,8.79,2.16,3.95,0.57,5.08,2.87
Archean craton,Basalt,53.43,1.23,15.5,5.68,5.89,0.18,0.39,3.8,0.12,57,8,270,43,79,1,365,22.49,82,3.53,9.86,6.96,2.52,0.96,2.87,0.45,2.5,0.59
Seamount,Basalt,49.4,1.99,16,12.1,6.01,0.16,0.56,2.36,0.21,40.6,265,271,NA,80,9.21,244,30.9,124,7.41,19.4,14.3,4.25,1.55,2.65,0.386,3.13,0.56
Convergent margin,Andesite,55.58,0.67,16.08,9.02,6.47,0.15,1.63,2.35,0.23,29.6,203,271,25.8,51.7,46.2,551,19.2,108,23.2,44.7,21.1,4.23,1.17,1.8,0.28,2.65,6.99
Archean craton,Basalt,51.3,0.9,14.3,9.8,7.3,0.2,0.1,3.1,0.08,41,281,271,51,79,1.3,122,25,85,4.8,12.9,9.7,2.7,0.9,2.6,0.4,2.3,0.4
Archean craton,Andesite,56.05,0.83,14.13,8.12,3.95,0.32,0.59,3.69,0.08,20,351,272,115,249,18,253,21,10,12.2,21.2,7.6,2.2,0.4,0.5,0.1,0.1,NA
Intraplate,Basalt,49.1,2.016,13.61,8.52,10.62,0.143,1.141,2.48,0.348,16.6,137.3,273.3,46.1,200.7,15.3,569.837,20.58,140,18.685,38.303,22.408,5.088,1.755,1.4805,0.22,3.454,1.985
Archean craton,Basalt,51.35,0.74,14.7,10.01,9.78,0.13,0.12,1.9,0.06,29,192,276,49,123,3,110,15.3,44,2.7,7.04,5.22,1.73,0.641,1.47,1.01,1.3,0.28
Backarc basin,Basalt,49.51,1.25,17.02,11.08,7.41,NA,0.28,3.17,0.16,33.5,228,280,36.8,174,3.7,201,28.5,98.8,5.01,13.38,10.52,3.2,1.18,2.73,0.43,2.43,0.368
Backarc basin,Basalt,52.24,1.28,16.43,10.83,7.07,0.15,0.25,2.83,0.15,30.7,214,281,32.6,109,5.24,185,25.2,91.7,5.27,13.86,9.77,2.96,1.06,2.41,0.37,2.22,0.52
Archean craton,Basalt,55.4,1.06,17.01,9.74,3.83,0.24,0.02,2.4,0.06,39,300,283,48,128,NA,114,21,69,3.2,8.7,7.8,2.6,0.93,2,0.28,1.4,0.2
Archean craton,Basalt,53.9,0.8,15.59,7.89,5.02,0.21,0.24,4.97,0.04,37,274,283,46,120,7,147,21,60,2.7,6.9,5.8,2.1,0.66,1.8,0.25,1.8,0.18
Cont flood Basalt,Basalt,47.9,1.403,15.2,10.72,8.37,0.172,0.148,2.46,0.107,38.5,326.8,283,48.9,126.7,0.5,148.6,28.6,83.8,5.67,14.23,10.81,3.38,1.33,2.55,0.38,2.57,0.9
Convergent margin,Andesite,52.2,1.07,15.99,9.39,7.7,0.17,0.71,3.13,0.19,35,248,283,39,99,10,293,19,100,6.12,16.27,12.45,3.54,1.07,2.1,0.32,2.35,0.49
Archean craton,Basalt,51.56,0.69,14.36,10.89,7.66,0.17,1.7,0.79,0.06,58,276,284,56,128,39.91,143,17,45,2.31,6.22,4.83,1.69,0.65,1.9,0.3,1.36,0.21
Backarc basin,Basalt,50.93,1.34,16.71,11.12,7.36,NA,0.32,3.14,0.12,32.1,218,285,33.5,107,4.3,194,26.7,97.6,5.4,13.49,10.7,3.17,1.15,2.56,0.4,2.34,0.399
Archean craton,Basalt,52.71,1.09,17.39,9.72,4.04,0.23,0.21,3.88,0.08,39,279,285,55,107,7,85,14,63,3.3,8.8,7.8,2.7,1,1.2,0.18,1.6,0.2
Archean craton,Basalt,50.5,1.41,14.1,10.4,5.8,0.23,0.2,1.9,0.2,42,258,286,NA,67,7,176,36,108,7.4,19.9,13.8,4.23,1.33,3.64,0.56,2.85,0.74
Cont flood Basalt,Basalt,48.41,1.4,15.89,11.31,6.81,0.16,0.35,2.51,0.1,38.9,285,290,46.1,125,6,282,22,72,6.5,15.5,10.7,3.03,1.18,1.9,0.27,2,0.52
Seamount,Basalt,50.1,2.01,15.7,8.22,8.59,0.12,0.37,3.05,0.2,43.2,304,290,NA,76,3.44,232,28.4,115,6.95,18,13.7,4.03,1.5,2.57,0.374,3.01,0.521
Convergent margin,Andesite,54.53,0.68,15.27,10.25,6.7,0.15,1.56,2.35,0.21,NA,247,290,32,67.5,45.1,570,19.2,110,28,54.3,23.1,4.37,1.26,1.68,0.26,2.46,8.3
Archean craton,Basalt,49.8,0.99,15.7,11.1,5.43,0.21,0.52,3.32,0.21,46.4,300,290,54,120,13,156,26,59,3.4,9.7,8.2,2.5,1.02,2.6,0.39,1.7,0.3
Backarc basin,Basalt,51.41,1.26,16.58,10.98,7.57,NA,0.37,3.01,0.18,33.1,223,291,34.4,108,4,200,28.1,92.8,5.91,14.41,11.17,3.25,1.17,2.57,0.4,2.31,0.443
Convergent margin,Andesite,54.77,1.13,14.75,8.23,7.03,0.16,1.2,3.06,0.16,26,239,297,13,92,36,328,23,53,13.98,27.22,14.64,4.16,1.33,2.01,0.31,2.79,1.72
Intraplate,Basalt,49.6,2.074,14.52,9.02,6.18,0.263,1.09,3.42,0.313,21.1,158.8,299.8,45.2,119.2,16.1,432.566,31.901,118.15,14.36,30.48,19.578,4.8935,1.679,2.026,0.336,3.2985,1.833
Intraplate,Basalt,50.11,1.89,14.56,8.75,8.48,0.17,1.15,3.37,0.4,22,170,300,89,280,24,531,49,172,46.8,103,49,9.68,2.92,2.62,0.46,3.69,2.95
Seamount,Basalt,39.5,2.85,14.8,6.15,5.39,0.19,0.76,1.82,0.57,17.86,470,300,65,315,9.15,149.74,24.42,141.34,21.51,46.11,21.77,5.08,1.77,1.57,0.23,3.17,2.09
Convergent margin,Basalt,51.38,1.16,15.47,11.14,6.88,0.19,0.31,2.81,0.13,22,168,300,40,73,6.4,136,29.9,75.5,3.52,10.18,8.46,2.87,1,2.97,0.44,2.05,0.35
Backarc basin,Basalt,50.26,1.23,16.34,11.21,8.16,0.16,0.13,2.97,0.26,30.5,NA,302,36.3,130,2.34,129,22,70.6,3.12,9.26,8.17,2.82,1.05,2.59,0.371,2.27,0.177
Seamount,Basalt,46.43,3.9,12.43,10.24,7.53,0.22,2.22,2.8,1.46,22.8,221,307,51.3,187,33.8,842,34.9,409,57.7,121,59.6,11.6,3.55,2.18,0.32,9.2,6
Convergent margin,Andesite,57.1,0.5,13.2,9.05,7.35,0.14,1.26,2.35,0.11,32,191,308,33,84,17.5,394,17,53,6.57,13.66,8.85,2.23,0.67,1.59,0.25,1.43,0.96
Archean craton,Andesite,52.99,0.59,13.45,8.67,9.4,0.17,0.48,1.89,0.07,30,229,313,63,112,13.66,166,18.11,49.65,15.16,24.84,11.45,3.05,0.81,1.76,0.29,1.03,2.63
Archean craton,Basalt,49.27,0.62,14.84,10.51,10.31,0.2,1.97,0.29,0.04,46,252,316,69,116,10,90,14.5,34,1.46,4.3,3.76,1.38,0.58,1.6,0.24,1.08,0.21
Backarc basin,Basalt,51.8,0.74,15.65,12.24,8.16,0.16,0.11,1.92,0.06,36,336,320,35,81,1.4,170,18,37.9,1.27,4.08,4.46,1.64,0.66,1.95,0.31,1.05,0.04
